day,fajr,sunrise,dhuhr,asr,maghrib,isha
1,05:45 ص,07:05 ص,12:27 م,03:11 م,05:35 م,06:55 م
2,05:44 ص,07:04 ص,12:27 م,03:12 م,05:36 م,06:56 م
3,05:43 ص,07:03 ص,12:27 م,03:13 م,05:37 م,06:57 م
4,05:43 ص,07:03 ص,12:27 م,03:13 م,05:38 م,06:58 م
5,05:42 ص,07:02 ص,12:28 م,03:14 م,05:39 م,06:59 م
6,05:41 ص,07:01 ص,12:28 م,03:15 م,05:40 م,07:00 م
7,05:40 ص,07:00 ص,12:28 م,03:16 م,05:41 م,07:01 م
8,05:39 ص,06:59 ص,12:28 م,03:16 م,05:42 م,07:02 م
9,05:38 ص,06:58 ص,12:28 م,03:17 م,05:43 م,07:03 م
10,05:37 ص,06:57 ص,12:28 م,03:18 م,05:44 م,07:04 م
11,05:36 ص,06:56 ص,12:28 م,03:19 م,05:45 م,07:05 م
12,05:35 ص,06:55 ص,12:28 م,03:19 م,05:46 م,07:06 م
13,05:34 ص,06:54 ص,12:28 م,03:20 م,05:47 م,07:07 م
14,05:33 ص,06:53 ص,12:28 م,03:21 م,05:48 م,07:08 م
15,05:33 ص,06:52 ص,12:28 م,03:21 م,05:49 م,07:09 م
16,05:32 ص,06:51 ص,12:28 م,03:22 م,05:50 م,07:10 م
17,05:31 ص,06:50 ص,12:28 م,03:23 م,05:51 م,07:11 م
18,05:30 ص,06:49 ص,12:28 م,03:24 م,05:52 م,07:12 م
19,05:29 ص,06:48 ص,12:28 م,03:24 م,05:53 م,07:13 م
20,05:28 ص,06:47 ص,12:28 م,03:25 م,05:54 م,07:14 م
21,05:27 ص,06:46 ص,12:28 م,03:26 م,05:55 م,07:15 م
22,05:26 ص,06:45 ص,12:27 م,03:26 م,05:56 م,07:16 م
23,05:25 ص,06:43 ص,12:27 م,03:27 م,05:57 م,07:17 م
24,05:24 ص,06:42 ص,12:27 م,03:28 م,05:57 م,07:17 م
25,05:24 ص,06:41 ص,12:27 م,03:29 م,05:58 م,07:18 م
26,05:23 ص,06:40 ص,12:27 م,03:29 م,05:59 م,07:19 م
27,05:22 ص,06:39 ص,12:27 م,03:30 م,06:00 م,07:20 م
28,05:21 ص,06:37 ص,12:27 م,03:31 م,06:01 م,07:21 م